interv_measure,scene,object_value,min_coverage,year
123,6,2000,0.322793571,3
123,6,2500,0.263510225,3
123,1,500,0.142243337,5
123,1,1000,0.085705803,5
123,1,1500,0.049201818,5
123,1,2000,0,5
123,1,2500,0,5
123,2,500,0.2546867,5
123,2,1000,0.152992167,5
123,2,1500,0.11655145,5
123,2,2000,0.093445218,5
123,2,2500,0.074731547,5
123,3,500,0.442992041,5
123,3,1000,0.234960043,5
123,3,1500,0.172216994,5
123,3,2000,0.143438853,5
123,3,2500,0.123815512,5
123,4,500,0.506187761,5
123,4,1000,0.271635486,5
123,4,1500,0.197239795,5
123,4,2000,0.162449227,5
123,4,2500,0.14052589,5
123,5,500,0.640138019,5
123,5,1000,0.423094341,5
123,5,1500,0.288136497,5
123,5,2000,0.224735782,5
123,5,2500,0.19028268,5
123,6,500,0.715985255,5
123,6,1000,0.533566404,5
123,6,1500,0.393239401,5
123,6,2000,0.298596215,5
123,6,2500,0.247055605,5
124,1,500,0.234221534,1
124,1,1000,0.152675598,1
124,1,1500,0.089971897,1
124,1,2000,0,1
124,1,2500,0,1
124,2,500,0.418223524,1
124,2,1000,0.243135577,1
124,2,1500,0.200488523,1
124,2,2000,0.164396282,1
124,2,2500,0.131338544,1
124,3,500,0.707378192,1
124,3,1000,0.391909652,1
124,3,1500,0.281523017,1
124,3,2000,0.235532771,1
124,3,2500,0.211923865,1
124,4,500,0.765331758,1
124,4,1000,0.490565635,1
124,4,1500,0.316402676,1
124,4,2000,0.261295357,1
124,4,2500,0.240800449,1
124,5,500,0.864416745,1
124,5,1000,0.703839299,1
124,5,1500,0.533811032,1
124,5,2000,0.383220865,1
124,5,2500,0.311842122,1
124,6,500,0.908510801,1
124,6,1000,0.79937428,1
124,6,1500,0.682448231,1
124,6,2000,0.562789954,1
124,6,2500,0.438042472,1
124,1,500,0.1641105,3
124,1,1000,0.100836055,3
124,1,1500,0.057918306,3
124,1,2000,0,3
124,1,2500,0,3
124,2,500,0.324907805,3
124,2,1000,0.173236718,3
124,2,1500,0.134402328,3
124,2,2000,0.109195297,3
124,2,2500,0.087230022,3
124,3,500,0.608262825,3
124,3,1000,0.284811524,3
124,3,1500,0.19730862,3
124,3,2000,0.16338024,3
124,3,2500,0.14445553,3
124,4,500,0.675335659,3
124,4,1000,0.363312433,3
124,4,1500,0.228649393,3
124,4,2000,0.185656837,3
124,4,2500,0.15943283,3
124,5,500,0.796645609,3
124,5,1000,0.586111233,3
124,5,1500,0.388414949,3
124,5,2000,0.271221062,3
124,5,2500,0.217946641,3
124,6,500,0.854410127,3
124,6,1000,0.699663591,3
124,6,1500,0.549498382,3
124,6,2000,0.405871771,3
124,6,2500,0.302497173,3
124,1,500,0.149792441,5
124,1,1000,0.08836516,5
124,1,1500,0.049954858,5
124,1,2000,0,5
124,1,2500,0,5
124,2,500,0.293516564,5
124,2,1000,0.158870975,5
124,2,1500,0.119170328,5
124,2,2000,0.095166979,5
124,2,2500,0.075258283,5
124,3,500,0.553946955,5
124,3,1000,0.263264149,5
124,3,1500,0.182342171,5
124,3,2000,0.147422898,5
124,3,2500,0.127938263,5
124,4,500,0.620708158,5
124,4,1000,0.323875447,5
124,4,1500,0.212826898,5
124,4,2000,0.169675144,5
124,4,2500,0.143771342,5
124,5,500,0.750830313,5
124,5,1000,0.529347766,5
124,5,1500,0.343506008,5
124,5,2000,0.248727164,5
124,5,2500,0.204625702,5
124,6,500,0.816787091,5
124,6,1000,0.64627984,5
124,6,1500,0.49183596,5
124,6,2000,0.355723428,5
124,6,2500,0.276637563,5
134,1,500,,1
134,1,1000,,1
134,1,1500,,1
134,1,2000,0,1
134,1,2500,0,1
134,2,500,,1
134,2,1000,,1
134,2,1500,,1
134,2,2000,,1
134,2,2500,,1
134,3,500,,1
134,3,1000,,1
134,3,1500,,1
134,3,2000,,1
134,3,2500,,1
134,4,500,,1
134,4,1000,,1
134,4,1500,,1
134,4,2000,,1
134,4,2500,,1
134,5,500,,1
134,5,1000,,1
134,5,1500,,1
134,5,2000,,1
134,5,2500,,1
134,6,500,,1
134,6,1000,,1
134,6,1500,,1
134,6,2000,,1
134,6,2500,,1
134,1,500,,3
134,1,1000,,3
134,1,1500,0.520997618,3
134,1,2000,0,3
134,1,2500,0,3
134,2,500,,3
134,2,1000,,3
134,2,1500,,3
134,2,2000,,3
134,2,2500,,3
134,3,500,,3
134,3,1000,,3
134,3,1500,,3
134,3,2000,,3
134,3,2500,,3
134,4,500,,3
134,4,1000,,3
134,4,1500,,3
134,4,2000,,3
134,4,2500,,3
134,5,500,,3
134,5,1000,,3
134,5,1500,,3
134,5,2000,,3
134,5,2500,,3
134,6,500,,3
134,6,1000,,3
134,6,1500,,3
134,6,2000,,3
134,6,2500,,3
134,1,500,,5
134,1,1000,0.889341483,5
134,1,1500,0.343769846,5
134,1,2000,0,5
134,1,2500,0,5
134,2,500,,5
134,2,1000,,5
134,2,1500,,5
134,2,2000,,5
134,2,2500,0.676554175,5
134,3,500,,5
134,3,1000,,5
134,3,1500,,5
134,3,2000,,5
134,3,2500,,5
134,4,500,,5
134,4,1000,,5
134,4,1500,,5
134,4,2000,,5
134,4,2500,,5
134,5,500,,5
134,5,1000,,5
134,5,1500,,5
134,5,2000,,5
134,5,2500,,5
134,6,500,,5
134,6,1000,,5
134,6,1500,,5
134,6,2000,,5
134,6,2500,,5
234,1,500,0.252670532,1
234,1,1000,0.156247875,1
234,1,1500,0.092394547,1
234,1,2000,0,1
234,1,2500,0,1
234,2,500,0.646122576,1
234,2,1000,0.258405756,1
234,2,1500,0.206956346,1
234,2,2000,0.163115982,1
234,2,2500,0.134610122,1
234,3,500,,1
234,3,1000,0.553598097,1
234,3,1500,0.295873774,1
234,3,2000,0.245215377,1
234,3,2500,0.214551676,1
234,4,500,,1
234,4,1000,0.770144957,1
234,4,1500,0.357283266,1
